010021704	116
010931245	137
010931246	137
010931247	151
010931276	468
010002792	137
010004297	137
010018512	116
010012162	137
010011943	137
010013794	115
010015480	115
010015481	115
010015482	115
010015483	115
010045027	130
apteka45	130
010018803	138
010021200	115
010024428	115
030139269	101
010026920	130
130101128	99
010028335	130
010028333	86
010028334	130
010031633	180
030138459	98
010035662	101
390100152	500
010037949	100
010044373	101
040800483	130
010046814	130
010045635	101
010046960	101
010045026	69
